"src_table","src_column","ref_table","ref_column"
"annotations_graph","allograph_id","symbols_structure_allograph","id"
"annotations_graph","hand_id","scribes_hand","id"
"annotations_graph","item_image_id","manuscripts_itemimage","id"
"annotations_graph_positions","graph_id","annotations_graph","id"
"annotations_graph_positions","position_id","symbols_structure_position","id"
"annotations_graphcomponent","component_id","symbols_structure_component","id"
"annotations_graphcomponent","graph_id","annotations_graph","id"
"annotations_graphcomponent_features","feature_id","symbols_structure_feature","id"
"annotations_graphcomponent_features","graphcomponent_id","annotations_graphcomponent","id"
