"table_name","rows"
"digipal_annotation","24584"
"digipal_graph","20553"
"digipal_graphcomponent","3103"
"digipal_graphcomponent_features","3367"
"digipal_image","3277"
"digipal_itempart","712"
"digipal_text_textcontentxml","972"
